detector,accuracy,precision,recall,f1,true_neg,false_pos,false_neg,true_pos
Rule-Based,0.7244432519452643,0.8102710413694721,0.38850889192886456,0.5251964863615349,2132,133,894,568
Naive Bayes,0.9313120472229676,0.9975247524752475,0.8269493844049247,0.9042632759910246,2262,3,253,1209
Logistic Regression,0.9683391467668366,0.9363636363636364,0.9863201094391245,0.960692871419054,2167,98,20,1442
HuggingFace (BERT),0.9779983901261068,0.9985549132947977,0.945280437756498,0.9711876317638791,2263,2,80,1382
DeBERTa,0.6077273946874161,0.0,0.0,0.0,2265,0,1462,0
URL Analyzer,0.5055004024684733,0.3694311172035641,0.3686730506155951,0.3690516946251284,1345,920,923,539
Hybrid,0.9160182452374565,0.9922879177377892,0.7920656634746922,0.8809433244579689,2256,9,304,1158
Strict Hybrid,0.9616313388784545,0.9208679004467135,0.9870041039671683,0.9527896995708155,2141,124,19,1443
Hybrid (Rule+URL),0.6141668902602629,0.7608695652173914,0.023939808481532147,0.046419098143236075,2254,11,1427,35
